number,resolver,resolved_at
1468,"['github-actions[bot]', 'longyanz']",2024-01-07 17:44:58
1469,"['github-actions[bot]', 'longyanz']",2024-01-07 17:45:08
1470,"['github-actions[bot]', 'longyanz']",2024-01-07 17:45:18
1473,[],2024-01-14 20:00:03
1474,"['frank-zsy', 'github-actions[bot]', 'longyanz']",2024-01-08 18:45:48
1478,['birdflyi'],2024-03-19 03:19:58
1481,"['github-actions[bot]', 'longyanz']",2024-01-10 00:56:41
1483,"['frank-zsy', 'github-actions[bot]', 'longyanz']",2024-01-09 23:45:40
1484,['birdflyi'],2024-01-11 04:36:50
1488,"['frank-zsy', 'github-actions[bot]', 'longyanz']",2024-01-16 06:49:12
1490,['frank-zsy'],2024-01-11 00:47:09
1492,['frank-zsy'],2024-01-11 04:38:52
1494,['frank-zsy'],2024-01-11 04:45:12
1497,['frank-zsy'],2024-08-19 04:19:14
1499,['frank-zsy'],2024-01-14 22:55:37
1500,[],2024-01-21 20:00:03
1501,['frank-zsy'],2024-01-15 22:56:21
1514,[],2024-01-28 20:00:03
1517,['birdflyi'],2024-02-03 18:03:43
1519,[],2024-02-04 20:00:02
1520,"['open-digger-bot[bot]', 'frank-zsy']",2024-02-15 16:48:53
1521,['frank-zsy'],2024-02-03 19:06:46
1522,[],2024-02-15 18:58:55
1523,['frank-zsy'],2024-02-15 16:49:01
1524,"['binary5', 'ljcui', 'frank-zsy']",2024-02-22 00:09:40
1526,['frank-zsy'],2024-02-26 22:48:43
1528,['birdflyi'],2024-02-29 23:13:41
1531,['frank-zsy'],2024-03-06 22:39:20
1533,['frank-zsy'],2024-04-09 01:26:45
1534,[],2024-04-09 19:08:21
1535,['frank-zsy'],2024-03-20 19:17:45
1536,['frank-zsy'],2024-04-09 01:26:45
1540,['frank-zsy'],2024-03-27 19:26:35
1543,['birdflyi'],2024-03-31 15:32:03
1545,['frank-zsy'],2024-06-03 00:10:36
1548,['frank-zsy'],2024-06-03 00:10:36
1549,['frank-zsy'],2024-05-07 19:26:22
1550,"['binary5', 'frank-zsy']",2024-05-05 05:11:34
1551,['birdflyi'],2024-05-02 09:06:49
1553,"['binary5', 'frank-zsy']",2024-05-08 18:17:19
1555,['frank-zsy'],2024-05-14 06:44:41
1557,['frank-zsy'],2024-05-14 07:01:50
1566,[],2024-07-02 17:45:34
1567,"['binary5', 'frank-zsy']",2024-06-02 21:24:33
1568,['frank-zsy'],2024-05-23 08:05:11
1570,"['binary5', 'frank-zsy']",2024-06-02 21:24:27
1573,['birdflyi'],2024-05-29 19:00:56
1577,[],2024-07-02 17:45:50
1578,['birdflyi'],2024-07-02 18:19:13
1579,['frank-zsy'],2024-07-03 00:06:09
1580,['birdflyi'],2024-07-17 21:45:48
1582,['birdflyi'],2024-07-03 00:05:21
1585,[],2024-08-13 18:57:34
1588,['frank-zsy'],2024-07-05 20:06:10
1590,"['frank-zsy', 'maninhill']",2024-07-07 04:13:03
1591,['frank-zsy'],2024-07-07 00:30:54
1593,[],2024-08-14 20:06:43
1599,['birdflyi'],2024-08-01 01:43:00
1603,"['open-digger-bot[bot]', 'frank-zsy']",2024-08-19 04:47:21
